time_epoch,time_iso,lat,lon,error_km,count,arrays,union_arrays_count,backazimuths,time_span_s,triangulated,source_file
1578528354.825,2020-01-09T00:05:54.825232+00:00,-71.725753,-107.035737,0.0,1,0;1,2,345.0;350.0,0.0,True,locations_summary_20200109_triangulated.csv
1578528377.7,2020-01-09T00:06:17.700232+00:00,-77.617071,-102.472788,0.0,1,0;1,2,55.0;350.0,0.0,True,locations_summary_20200109_triangulated.csv
1578528485.775,2020-01-09T00:08:05.775232+00:00,-84.603619,-103.283581,0.0,1,0;1,2,5.0;180.0,0.0,True,locations_summary_20200109_triangulated.csv
1578528591.925,2020-01-09T00:09:51.925232+00:00,-76.74861,-101.603366,0.0,1,0;1,2,335.0;115.0,0.0,True,locations_summary_20200109_triangulated.csv
1578528777.875,2020-01-09T00:12:57.875232+00:00,-77.405933,-105.853908,0.0,1,0;1,2,85.0;35.0,0.0,True,locations_summary_20200109_triangulated.csv
1578614741.2,2020-01-10T00:05:41.200001+00:00,-76.311465,-96.837197,0.0,1,0;1,2,40.0;80.0,0.0,True,locations_summary_20200110_triangulated.csv
1578614758.125,2020-01-10T00:05:58.125000+00:00,-75.915001,-95.37592,0.0,1,0;1,2,40.0;70.0,0.0,True,locations_summary_20200110_triangulated.csv
1578614789.988,2020-01-10T00:06:29.987501+00:00,-76.547454,-102.381875,0.0,2,0;1,2,330.0;70.0;330.0;275.0,21.925,True,locations_summary_20200110_triangulated.csv
1578614807.975,2020-01-10T00:06:47.975001+00:00,-76.75651,-93.931516,0.0,1,0;1,2,70.0;275.0,0.0,True,locations_summary_20200110_triangulated.csv
1578614830.875,2020-01-10T00:07:10.875000+00:00,-76.702835,-101.177841,0.0,3,0;1,2,165.0;275.0;165.0;290.0;165.0;110.0,210.7,True,locations_summary_20200110_triangulated.csv
1578614909.625,2020-01-10T00:08:29.625000+00:00,-77.309611,-100.55843,0.0,1,0;1,2,60.0;140.0,0.0,True,locations_summary_20200110_triangulated.csv
1578614995.95,2020-01-10T00:09:55.950001+00:00,-70.193685,-63.282324,0.0,1,0;1,2,230.0;235.0,0.0,True,locations_summary_20200110_triangulated.csv
1578615002.85,2020-01-10T00:10:02.850000+00:00,-76.952898,-98.665513,0.0,1,0;1,2,230.0;110.0,0.0,True,locations_summary_20200110_triangulated.csv
1578615016.25,2020-01-10T00:10:16.250000+00:00,-76.973331,-105.812247,0.0,1,0;1,2,105.0;235.0,0.0,True,locations_summary_20200110_triangulated.csv
1578615023.15,2020-01-10T00:10:23.150001+00:00,-78.682864,-77.787652,0.0,1,0;1,2,105.0;110.0,0.0,True,locations_summary_20200110_triangulated.csv
1578616134.2,2020-01-10T00:28:54.200000+00:00,-76.570239,-137.05636,0.0,1,0;1,2,95.0;270.0,0.0,True,locations_summary_20200110_triangulated.csv
1578616139.1,2020-01-10T00:28:59.100000+00:00,-76.570239,-99.31155,0.0,1,0;1,2,200.0;270.0,0.0,True,locations_summary_20200110_triangulated.csv
1578616491.725,2020-01-10T00:34:51.725000+00:00,-76.835106,-103.385368,0.0,1,0;1,2,125.0;185.0,0.0,True,locations_summary_20200110_triangulated.csv
1578627016.175,2020-01-10T03:30:16.175000+00:00,-77.088831,-102.454483,0.0,1,0;1,2,115.0;340.0,0.0,True,locations_summary_20200110_triangulated.csv
1578701110.475,2020-01-11T00:05:10.475203+00:00,-76.759411,-101.844344,0.0,1,0;1,2,150.0;120.0,0.0,True,locations_summary_20200111_triangulated.csv
1578701119.625,2020-01-11T00:05:19.625203+00:00,-76.925767,-101.422463,0.0,1,0;1,2,150.0;310.0,0.0,True,locations_summary_20200111_triangulated.csv
1578701157.625,2020-01-11T00:05:57.625203+00:00,-76.570239,-93.613238,0.0,1,0;1,2,65.0;90.0,0.0,True,locations_summary_20200111_triangulated.csv
1578701249.675,2020-01-11T00:07:29.675203+00:00,-77.174908,-99.904968,0.0,3,0;1,2,65.0;305.0;205.0;130.0;215.0;310.0,355.7,True,locations_summary_20200111_triangulated.csv
1578701209.125,2020-01-11T00:06:49.125203+00:00,-78.148562,-105.806922,0.0,1,0;1,2,55.0;20.0,0.0,True,locations_summary_20200111_triangulated.csv
1578701221.375,2020-01-11T00:07:01.375203+00:00,-74.225583,-81.19738,0.0,1,0;1,2,55.0;245.0,0.0,True,locations_summary_20200111_triangulated.csv
1578701229.4,2020-01-11T00:07:09.400203+00:00,-76.785527,-105.311548,0.0,1,0;1,2,115.0;245.0,0.0,True,locations_summary_20200111_triangulated.csv
1578701488.0,2020-01-11T00:11:28.000203+00:00,-77.492779,-98.454261,0.0,2,0;1,2,115.0;130.0;110.0;310.0,487.85,True,locations_summary_20200111_triangulated.csv
1578701235.0,2020-01-11T00:07:15.000203+00:00,-75.986976,-97.789356,0.0,1,0;1,2,205.0;245.0,0.0,True,locations_summary_20200111_triangulated.csv
1578701340.85,2020-01-11T00:09:00.850203+00:00,-77.349993,-99.201717,0.0,1,0;1,2,100.0;310.0,0.0,True,locations_summary_20200111_triangulated.csv
1578701363.275,2020-01-11T00:09:23.275203+00:00,-77.207692,-101.666983,0.0,2,0;1,2,100.0;150.0;295.0;150.0,19.2,True,locations_summary_20200111_triangulated.csv
1578721203.95,2020-01-11T05:40:03.950203+00:00,-77.512621,-101.133944,0.0,2,0;1,2,215.0;335.0;35.0;150.0,39332.1,True,locations_summary_20200111_triangulated.csv
