time_epoch,time_iso,lat,lon,error_km,count,arrays,backazimuths,time_span_s,source_file
1578614789.988,2020-01-10T00:06:29.987501+00:00,-76.547454,-102.381875,0.0,2,0;1,330.0;70.0;330.0;275.0,21.925,locations_summary_20200110.csv
1578614830.875,2020-01-10T00:07:10.875000+00:00,-76.702835,-101.177841,0.0,3,0;1,165.0;275.0;165.0;290.0;165.0;110.0,210.7,locations_summary_20200110.csv
1578701249.675,2020-01-11T00:07:29.675203+00:00,-77.174908,-99.904968,0.0,3,0;1,65.0;305.0;205.0;130.0;215.0;310.0,355.7,locations_summary_20200111.csv
1578701488.0,2020-01-11T00:11:28.000203+00:00,-77.492779,-98.454261,0.0,2,0;1,115.0;130.0;110.0;310.0,487.85,locations_summary_20200111.csv
1578701363.275,2020-01-11T00:09:23.275203+00:00,-77.207692,-101.666983,0.0,2,0;1,100.0;150.0;295.0;150.0,19.2,locations_summary_20200111.csv
1578721203.95,2020-01-11T05:40:03.950203+00:00,-77.512621,-101.133944,0.0,2,0;1,215.0;335.0;35.0;150.0,39332.1,locations_summary_20200111.csv
1578787540.025,2020-01-12T00:05:40.024999+00:00,-77.098339,-100.519079,0.0,3,0;1,10.0;130.0;15.0;130.0;340.0;130.0,17.775,locations_summary_20200112.csv
1578787586.412,2020-01-12T00:06:26.412499+00:00,-77.544308,-101.288426,0.0,2,0;1,30.0;155.0;225.0;155.0,10.075,locations_summary_20200112.csv
1578796498.425,2020-01-12T02:34:58.424999+00:00,-77.295785,-101.566127,0.0,3,0;1,85.0;155.0;105.0;150.0;260.0;150.0,8911.05,locations_summary_20200112.csv
1578787752.837,2020-01-12T00:09:12.837499+00:00,-76.603196,-103.276293,0.0,4,0;1,320.0;290.0;320.0;80.0;135.0;100.0;135.0;340.0,254.3,locations_summary_20200112.csv
1578873923.775,2020-01-13T00:05:23.775001+00:00,-76.867532,-100.483138,0.0,2,0;1,355.0;115.0;5.0;115.0,9.25,locations_summary_20200113.csv
